id,division,sub,BU,SSno,name,SSkv,owned,EHVname,switching,lat,lng,capacity,solarcap,plant,ptrans,feeder,outfeeder,infeeder,infeederss,img
1,SANGLI URBAN DIVISION,SANGLIWADI WEST ZONE,4067,244073,33/11 KV SHERINALA,33/11 KV,Y,,N,16.863828,74.559015,5,0,,,6,5,1,1,/assets/ss.png
2,SANGLI URBAN DIVISION,"SOUTH ZONE,SANGLI",4069,244039,33/11 KV NEW SANGLI CITY,33/11 KV,Y,,N,16.84653,74.57298,10,,,,10,8,2,2,/assets/ss.png
3,SANGLI URBAN DIVISION,"SOUTH ZONE,SANGLI",4069,244092,33 / 11 KV KOLHAPUR ROAD,33/11 KV,Y,,N,16.8404267,74.5644667,5,,,,6,5,1,1,/assets/ss.png
4,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244030,33/11 KV KUPWAD MIDC,33/11 KV,Y,,N,16.8769579,74.632345,20,,,,14,14,0,3,/assets/ss.png
5,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244066,33/11 KV SIE,33/11 KV,Y,,N,16.8760189,74.5874647,10,,,,8,8,0,1,/assets/ss.png
6,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244019,33/11 KV MADHAVNAGAR,33/11 KV,Y,,N,16.8879978,74.5914153,15,,,,11,10,1,3,/assets/ss.png
7,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244043,33/11 KV CHAKAN,33/11 KV,Y,,N,16.8812117,74.6262133,15,,,,10,9,1,1,/assets/ss.png
8,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244095,33/11 KV KUPWAD CITY,33/11 KV,Y,,N,16.855974,74.613033,20,,,,8,8,0,3,/assets/ss.png
9,SANGLI URBAN DIVISION,VISHRAMBAG NORTH ZN.,4066,244094,33\11 KV VIJAYANAGAR,33/11 KV,Y,,N,16.840539,74.608285,10,,,,9,8,1,1,/assets/ss.png
10,SANGLI URBAN DIVISION,VISHRAMBAG NORTH ZN.,4066,244119,33/11 VISHRAMBAG STORES,33/11 KV,Y,,N,16.842914,74.598747,10,,,,6,6,0,3,/assets/ss.png
11,SANGLI URBAN DIVISION,"CENTRAL ZONE,SANGLI",4068,244080,33/11KV RISALA ROAD,33/11 KV,Y,,N,16.8567728,74.5669995,15,,,,6,6,0,1,/assets/ss.png
12,SANGLI URBAN DIVISION,"CENTRAL ZONE,SANGLI",4068,244122,33/11 KV BALAJI MANDIR,33/11 KV,Y,,N,16.8614835,74.5844691,5,-,,,5,5,0,1,/assets/ss.png
13,SANGLI URBAN DIVISION,MIRAJ urban,1228,244070,33/11 KV KRIPAMAI,33/11 KV,Y,,N,16.8374541,74.6293781,15,,,,7,7,0,1,/assets/ss.png
14,SANGLI URBAN DIVISION,MIRAJ urban,1228,244008,33/11 KV MIRAJ,33/11 KV,Y,,N,16.845065,74.6467953,15,,,,10,9,1,2,/assets/ss.png
15,SANGLI URBAN DIVISION,MIRAJ urban,1228,244118,33/11 KV SHANIVAR PETH MIRAJ,33/11 KV,Y,,N,16.826564,74.648551,10,,,,6,6,0,1,/assets/ss.png
16,SANGLI URBAN DIVISION,MIRAJ urban,1228,244085,33/11KV MIDC MIRAJ,33/11 KV,Y,,N,16.8530577,74.6384341,20,,,,10,10,0,1,/assets/ss.png
17,SANGLI URBAN DIVISION,MIRAJ urban,1228,248004,220 KV MIRAJ,220/33 KV,N,Karad,N,16.8475892,74.6384557,100,,,,11,3,7,0,/assets/ss.png
18,SANGLI RURAL DIVISION,TASGAON (II),1279,246005,110/33/11 KV TASGAON,33/11 KV,N,Karad,N,17.0226521,74.6026248,66,,,,12,7,4,0,/assets/ss.png
19,SANGLI RURAL DIVISION,TASGAON (II),1279,244013,33/11 KV ANKALHKOP,33/11 KV,Y,,N,17.0132539,74.4501034,10,0,,,11,11,0,1,/assets/ss.png
20,SANGLI RURAL DIVISION,TASGAON (II),1279,244026,33/11 KV BURUNGAWADI,33/11 KV,Y,,N,17.015469,74.5119108,15,0,,,8,8,0,1,/assets/ss.png
21,SANGLI RURAL DIVISION,TASGAON (II),1279,244086,33 / 11 KV TASGAON,33/11 KV,Y,,N,17.0239313,74.6020519,10,,,,7,6,1,2,/assets/ss.png
22,SANGLI RURAL DIVISION,TASGAON (II),1279,244063,33/11KV KHATAV,33/11 KV,Y,,N,16.9659189,74.5279101,10,,,,5,5,0,1,/assets/ss.png
23,SANGLI RURAL DIVISION,TASGAON (II),1279,244087,33/11 KV TURACHI,33/11 KV,Y,,N,17.0558051,74.5419523,10,,,,5,5,0,1,/assets/ss.png
24,SANGLI RURAL DIVISION,TASGAON (II),1279,244091,33/11 KV BHILWADI  ( MALWADI ),33/11 KV,Y,,N,16.9775701,74.4898791,10,,,,3,3,0,1,/assets/ss.png
25,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244011,33/11 KV KASABE DIGRAJ,33/11 KV,Y,,N,16.9087061,74.5055869,8,,,1,13,10,3,2,/assets/ss.png
26,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244032,33/11 KV BRAMHNAL,33/11 KV,Y,,N,16.9305675,74.5057511,10,0,,1,11,7,4,2,/assets/ss.png
27,SANGLI RURAL DIVISION,VISHRAMBAG,1252,246001,110/33/11 KV VISHRAMBAG S/SN,132/33 KV,N,Karad,N,16.8431483,74.5971248,112.5,,,,14,8,5,0,/assets/ss.png
28,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244065,33/11 KV KAVATHE PIRAN,33/11 KV,Y,,N,16.8822609,74.4742138,10,,,1,12,8,4,2,/assets/ss.png
29,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244068,33/11 KV BUDHGAON,33/11 KV,Y,,N,16.9063736,74.5896941,10,,,1,13,8,5,2,/assets/ss.png
30,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244037,33/11 KV PRAKASH AGRO,33/11 KV,Y,,N,16.8799856,74.5345923,3.15,,,,4,2,2,1,/assets/ss.png
31,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244088,33/11 KV DUDHGAON S/STN,33/11 KV,Y,,N,16.879861,74.4338307,5,,,,8,5,3,2,/assets/ss.png
32,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244090,33/11KV NANDRE S/STN,33/11 KV,Y,,N,16.9591866,74.5641844,5,,,,6,3,3,1,/assets/ss.png
33,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244126,33/11 KV KAVALAPUR,33/11 KV,Y,,N,16.9141982,74.6119753,5,,,,6,3,3,2,/assets/ss.png
34,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244001,33/11 KV MHAISHAL,33/11 kV,Y,,N,16.7439018,74.7098223,10,,,2,13,7,5,2,/assets/ss.png
35,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244038,33/11 KV KRISHNA GHAT,33/11 kV,Y,,N,16.7998461,74.6393012,10,0,,,11,6,5,2,/assets/ss.png
36,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244134,33/11KV SIDHEWADI,33/11 kV,Y,,N,16.8935902,74.6994693,5,,,,8,3,5,0,/assets/ss.png
37,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244142,33/11KV KHANDERAJURI,33/11 kV,Y,,N,16.8971,74.7824167,5,0,,,6,3,3,0,/assets/ss.png
38,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244093,33/11 KV SAVALI KANADWADI,33/11 KV,Y,,N,16.8876533,74.6477154,10,0,,,15,9,6,0,/assets/ss.png
39,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244059,33/11 KV SONI,33/11 KV,Y,,N,16.9531434,74.6848374,10,0,,,12,6,6,1,/assets/ss.png
40,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244107,33/11KV MALGAON,33/11 KV,Y,,N,16.8652567,74.7107137,5,0,,,7,3,3,1,/assets/ss.png
41,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,248019,220KV NARWAD SUBSTATION,220/33 KV,N,Karad,N,16.7480994,74.7543649,50,,,,3,1,2,0,/assets/ss.png
